track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence
4,22,32,11,0.9896999551291416,1.485371094526944,0.33348786895379384,12.957828162899416,23.956307770026648,3.5993967119165045,6.654529936118513,478.58647324904365,340.36316707912437,477.30870390569964,359.1658003779957,mid_center,mid_center,center,-1.277769343344005,18.802633298871342,93.88766835485036,straight,unknown,-1.28265238242159,1217.787343148597,-288690.06379701314,0.6337464822346005,4,False,False,165.1658003779957,low_shot,extremely_low,straight,backhand,topspin,0.7
7,109,124,15,3.1387230332578415,6.946140602198427,0.5002318034306907,44.669530779481036,57.980554678645255,12.408202994300288,16.105709632957016,459.4374863933991,342.79588342034657,376.76638820216084,330.41319890741954,mid_center,mid_center,center,-82.67109819123829,-12.382684512927028,-171.48142188245492,straight,unknown,-0.028413126714591373,24.207248178110287,-4769.141877127366,0.8575553048990616,2,False,False,136.41319890741954,groundstroke,medium_high,straight,backhand,topspin,0.7
15,306,336,29,0.18443203644974204,4.024011148267328,1.0004636068613815,15.48062866174153,19.690526732268424,4.300174628261536,5.469590758963451,417.59139815351693,140.57500133972334,328.9357492074163,142.9586921422407,back_center,back_left,center,-88.65564894610065,2.38369080251735,178.4598553194442,straight,unknown,0.0006984257466381385,-0.5684758055067604,255.0152376304186,0.8963668957336384,0,False,False,51.04130785775931,low_shot,extremely_low,straight,backhand,flat,0.85
32,554,567,14,2.134763036247041,2.3470749769899313,0.433534229639932,17.611558413006815,28.625967433740577,4.892099559168559,7.951657620483494,481.7745520978207,359.62463374178714,466.59415283542774,405.4787997754447,mid_center,front_center,center,-15.180399262392939,45.85416603365758,108.31755066654382,straight,unknown,0.15570328271088044,-151.0776129482906,37001.98778091274,0.9846817798970551,2,False,False,211.4787997754447,down_the_line_groundstroke,medium_low,straight,backhand,slice,0.7
39,667,678,12,2.0365784365967063,2.4484006142823156,0.36683665584917324,22.08555779503455,33.46362155480792,6.134877165287374,9.295450431891089,478.5063197021414,357.8354662485049,474.07160170405695,402.84931720929876,mid_center,front_center,center,-4.434717998084466,45.01385096079389,95.62656397834714,straight,unknown,-0.8228403739928568,775.6787767964867,-182408.69386088706,0.7536386464688133,3,False,False,208.84931720929876,down_the_line_groundstroke,medium_low,straight,backhand,topspin,0.7
51,1025,1036,11,3.559366963199125,4.314116034371215,0.36683665584917324,45.75649123130812,50.58800273606611,12.710136453141143,14.052222982240586,533.4835510644896,367.34762360572915,586.6185198572576,446.0191891674079,mid_center,front_center,center,53.13496879276806,78.67156556167873,55.9648115428263,straight,unknown,0.007511661340597539,-6.880199910786912,1898.6673995972328,0.9981301704985561,0,False,False,252.0191891674079,groundstroke,medium_high,straight,forehand,slice,0.7
73,1570,1596,20,2.0476895883759267,7.732768564229915,0.867068459279864,34.81810841025823,66.76835227020203,9.671696780627286,18.546764519500563,262.6089762660717,62.060083498283724,239.05213708047125,29.976484526604544,back_left,back_left,left,-23.556839185600438,-32.08359897167918,-126.28734626571705,straight,unknown,0.005414597972133172,-1.9595076256397808,198.11596513125036,0.6598435840890046,11,False,False,164.02351547339546,down_the_line_groundstroke,medium_low,straight,backhand,slice,0.85
80,1727,1757,28,1.3560446655077898,6.676619680921141,1.0004636068613815,26.630426034222083,35.12436709082764,7.39734056506169,9.756768636341011,379.2584121530346,218.21837812121527,236.80802560955132,188.2461505003869,mid_center,back_left,center,-142.4503865434833,-29.972227620828363,-168.11801571027215,straight,unknown,0.0014534412836005638,-0.7142926961030021,276.9318798769978,0.9854296743413813,0,True,True,5.753849499613096,drop_shot,very_low,straight,backhand,slice,0.85
91,1897,1930,34,2.8499953772705973,7.084406306371369,1.1005099675475196,16.611466721906957,57.6468121222698,4.614296311640821,16.013003367297166,246.01322646914807,155.77465288778012,250.90814335231912,184.414842449292,back_left,back_left,left,4.8949168831710494,28.640189561511875,80.30124472515473,straight,unknown,0.4121424939815029,-205.36128056838965,25746.72519281404,0.6513352035240814,9,False,True,9.585157550708004,groundstroke,medium_high,straight,backhand,slice,0.85
95,2006,2029,23,1.4631796247836208,6.50619884036759,0.7670220985937258,30.939778607521088,36.49190683155317,8.594382946533635,10.136640786542548,262.6987286983866,130.0018299510242,123.0445905589068,97.66163210971571,back_left,back_left,left,-139.6541381394798,-32.340197841308495,-166.96163953221205,straight,unknown,-0.00028732920311361296,0.35636364504391316,57.6333331420318,0.9957708490909501,0,False,False,96.33836789028429,drop_shot,very_low,straight,backhand,flat,0.85
