track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence,type_label,direction_label,stroke_label
2,19,28,10,4.087256857558213,4.137939320862471,0.15021428571428572,96.84368860055055,105.44960434523824,26.90102461126404,29.291556762566177,792.8203848702561,555.2083692278179,778.9891034807475,464.8799926757814,mid_center,mid_center,center,-13.831281389508604,-90.3283765520365,-98.70563844602692,straight,unknown,-0.0037044848787301126,12.624614102790476,-7122.738494671795,0.9944735550518841,0,False,False,53.87999267578141,topspin_groundstroke,high,straight,backhand,topspin,0.7454911020686346,topspin_groundstroke,straight,backhand
5,82,94,13,0.601391368784594,5.055961299933258,0.2002857142857143,86.51575069845515,112.2019534441878,24.032152971793096,31.167209290052163,1053.9472795758927,353.68632899693074,1163.6376761300216,365.1591142926896,back_center,mid_center,center,109.69039655412894,11.472785295758854,5.970994669667833,straight,unknown,0.002283778850990615,-4.97942460327282,3065.774087480567,0.9748199245687487,0,False,False,45.840885707310406,groundstroke,medium,straight,forehand,slice,0.685526158092759,groundstroke,straight,forehand
7,130,146,17,6.577349149263824,10.84371624084001,0.26704761904761903,145.84920578564513,166.57725028207733,40.51366827379031,46.271458411688144,1109.9283778599317,219.48491537911548,920.5559561593193,364.844331577846,back_center,mid_center,center,-189.37242170061245,145.35941619873051,142.49069928525725,straight,deep,0.0012132073409956245,-3.2235057244843963,2303.3868924421936,0.9998895515732209,0,False,False,46.15566842215401,lob,very_high,down_the_line_deep,backhand,slice,0.7654800889185266,lob,down_the_line_deep,backhand
10,157,167,11,6.898066791319865,9.773706707116318,0.1669047619047619,205.36264814048258,250.7016457691211,57.04518003902294,69.63934604697808,772.8122497558593,532.7477800641741,632.8219177246093,680.316546630859,mid_center,mid_left,center,-139.99033203124998,147.56876656668487,133.490356137207,straight,deep,-0.004745895341587031,5.493385264210145,-885.0868935410202,0.9871395995533665,2,False,False,269.31654663085897,lob,very_high,down_the_line_deep,backhand,topspin,0.72536194100929,lob,down_the_line_deep,backhand
13,204,211,8,2.055911339708659,3.248058496574517,0.11683333333333333,96.87610860196183,104.59648142049619,26.91003016721162,29.054578172360053,763.8326049804685,325.9403189522878,819.1617117745537,280.5046783447264,back_center,back_center,center,55.32910679408519,-45.43564060756137,-39.39245535930356,straight,unknown,0.0035067986191468048,-6.363890994858189,3140.566858877914,0.9996986892723991,0,False,False,130.49532165527359,down_the_line_groundstroke,medium,straight,backhand,slice,0.6657198700244313,down_the_line_groundstroke,straight,backhand
20,364,389,26,2.5768360416582516,3.399661824934824,0.4172619047619048,28.951237318298435,56.13971282399434,8.04201036619401,15.59436467333176,604.6026053292408,337.77369559151776,645.0936479840959,283.1438969203405,back_left,back_center,left,40.491042654855164,-54.62979867117724,-53.45453941753778,straight,unknown,0.04209268498014745,-54.0299551464435,17619.609271490855,0.9977514822077683,0,False,False,127.85610307965948,down_the_line_groundstroke,medium,straight,backhand,slice,0.7829352497462873,down_the_line_groundstroke,straight,backhand
24,523,530,8,1.203117267039023,1.9384645774514058,0.11683333333333333,46.257570149935724,62.904242649198345,12.849325041648811,17.47340073588843,561.201025390625,532.7295148577007,554.9912728445869,543.6547040666852,mid_left,mid_left,left,-6.209752546038089,10.925189208984534,119.61340449797298,straight,unknown,-1.5925973542183427,1774.9883711817724,-494011.04882732284,0.8031532457862881,3,False,False,132.6547040666852,drop_shot,very_low,straight,backhand,topspin,0.550014699983326,drop_shot,straight,backhand
33,610,616,7,0.11769458102502627,2.5445429507451864,0.10014285714285714,90.44037171490903,93.60746265974012,25.12232547636362,26.002072961038923,1123.279748535156,317.2891845703124,1179.4106654575892,319.83240705217634,back_center,back_center,center,56.130916922433244,2.5432224818639497,2.5942267215264456,straight,unknown,0.0011168504671252386,-2.528471005511825,1748.3074269897747,0.9892950970410616,0,False,False,91.16759294782366,groundstroke,medium,straight,forehand,slice,0.6033118145651377,groundstroke,straight,forehand
36,661,685,25,10.285775892951817,11.458159196006179,0.4005714285714286,100.51217143359435,158.40523611672248,27.920047620442872,44.00145447686735,1291.2944370814728,500.27966177804126,1341.310761369977,710.0855503627232,mid_right,mid_right,right,50.016324288504165,209.80588858468195,76.59134023885245,straight,deep,-0.08836191435425984,237.481019357842,-158837.34596847338,0.9678446087397438,2,False,False,299.0855503627232,lob,very_high,down_the_line_deep,forehand,topspin,0.8012539011703663,lob,down_the_line_deep,forehand
41,719,724,6,5.490110923801612,5.65199575707742,0.08345238095238094,241.3767265524237,251.7979624935933,67.04909070900658,69.94387847044258,1356.8021240234375,585.1982116699219,1327.4965209960938,463.86676025390625,mid_right,mid_right,right,-29.30560302734375,-121.33145141601562,-103.57877895381287,straight,short,0.03440936085586284,-88.2029427304458,56915.005178032065,0.9992632363975914,0,False,False,52.86676025390625,lob,very_high,down_the_line_short,forehand,slice,0.6711985230481838,lob,down_the_line_short,forehand
